object_id,shape,admin3_pcode,shape_length,shape_area,location
104,Polygon,TH400802,0.478907,0.008073,"Thailand, Khon Kaen, Ubolratana, Ban Dong"
105,Polygon,TH520201,0.986496,0.020986,"Thailand, Lampang, Mae Mo, Ban Dong"
106,Polygon,TH650304,1.13466,0.02967,"Thailand, Phitsanulok, Chat Trakan, Ban Dong"
107,Polygon,TH311303,0.343649,0.003593,"Thailand, Buri Ram, Na Pho, Ban Du"
108,Polygon,TH451410,0.238695,0.002467,"Thailand, Roi Et, At Samat, Ban Du"
109,Polygon,TH570103,0.382767,0.005533,"Thailand, Chiang Rai, Mueang Chiang Rai, Ban Du"
110,Polygon,TH360403,0.544217,0.010935,"Thailand, Chaiyaphum, Kaset Sombun, Ban Duea"
111,Polygon,TH430109,0.366876,0.003248,"Thailand, Nong Khai, Mueang Nong Khai, Ban Duea"
112,Polygon,TH430205,0.33567,0.003441,"Thailand, Nong Khai, Tha Bo, Ban Duea"
113,Polygon,TH411102,0.674347,0.007499,"Thailand, Udon Thani, Ban Dung, Ban Dung"
114,Polygon,TH550301,0.54959,0.012597,"Thailand, Nan, Ban Luang, Ban Fa"
115,Polygon,TH530402,0.727245,0.013971,"Thailand, Uttaradit, Nam Pat, Ban Fai"
116,Polygon,TH400206,0.491806,0.003882,"Thailand, Khon Kaen, Ban Fang, Ban Fang"
117,Polygon,TH400907,0.357564,0.004292,"Thailand, Khon Kaen, Kranuan, Ban Fang"
118,Polygon,TH431403,0.532606,0.008697,"Thailand, Nong Khai, Sakhrai, Ban Fang"
119,Polygon,TH450206,0.342956,0.003327,"Thailand, Roi Et, Kaset Wisai, Ban Fang"
120,Polygon,TH150105,0.112574,0.000333,"Thailand, Ang Thong, Mueang Ang Thong, Ban Hae"
121,Polygon,TH520508,0.723366,0.013068,"Thailand, Lampang, Ngao, Ban Haeng"
122,Polygon,TH402401,0.426762,0.005057,"Thailand, Khon Kaen, Ban Haet, Ban Haet"
123,Polygon,TH302002,0.38309,0.002653,"Thailand, Nakhon Ratchasima, Sikhio, Ban Han"
124,Polygon,TH360402,0.67984,0.00839,"Thailand, Chaiyaphum, Kaset Sombun, Ban Han"
125,Polygon,TH402503,0.423532,0.006448,"Thailand, Khon Kaen, Non Sila, Ban Han"
126,Polygon,TH901404,0.120906,0.000833,"Thailand, Songkhla, Bang Klam, Ban Han"
127,Polygon,TH760602,0.146207,0.000647,"Thailand, Phetchaburi, Ban Lat, Ban Hat"
128,Polygon,TH412006,0.345264,0.003296,"Thailand, Udon Thani, Sang Khom, Ban Hin Ngom"
129,Polygon,TH141404,0.233562,0.001796,"Thailand, Phra Nakhon Si Ayutthaya, Uthai, Ban Hip"
130,Polygon,TH250703,0.284204,0.001859,"Thailand, Prachin Buri, Prachantakham, Ban Hoi"
